serial,kWh,kW,kVARh,kVAR,Time_stamp
3098000032,10.854,0,7.814,0.002,"2018-03-01 15:30:00"
3098000032,10.75,0,7.813,0,"2018-03-01 14:30:00"
3098000032,12.325,0.086,8.302,0.076,"2018-03-05 09:00:00"
3098000032,12.372,0.094,8.345,0.086,"2018-03-05 09:30:00"
3098000032,12.415,0.086,8.386,0.082,"2018-03-05 10:00:00"
3098000032,12.46,0.09,8.428,0.084,"2018-03-05 10:30:00"
3098000032,12.575,0.23,8.459,0.062,"2018-03-05 11:00:00"
3098000032,12.681,0.212,8.477,0.036,"2018-03-05 11:30:00"
3098000032,12.89,0.418,8.512,0.07,"2018-03-05 12:00:00"
3098000032,13.082,0.384,8.546,0.068,"2018-03-05 12:30:00"
3098000032,13.274,0.384,8.58,0.068,"2018-03-05 13:00:00"
3098000032,13.541,0.534,8.641,0.122,"2018-03-05 13:30:00"
3098000032,13.748,0.414,8.678,0.074,"2018-03-05 14:00:00"
3098000032,13.95,0.404,8.715,0.074,"2018-03-05 14:30:00"
3098000032,14.151,0.402,8.75,0.07,"2018-03-05 15:00:00"
3098000032,14.348,0.394,8.786,0.072,"2018-03-05 15:30:00"
3098000032,14.546,0.396,8.822,0.072,"2018-03-05 16:00:00"
3098000032,14.854,0.616,8.896,0.148,"2018-03-05 16:30:00"
3098000032,15.13,0.552,8.959,0.126,"2018-03-05 17:00:00"
3098000032,15.404,0.548,9.02,0.122,"2018-03-05 17:30:00"
3098000032,15.687,0.566,9.082,0.124,"2018-03-05 18:00:00"
3098000032,15.94,0.506,9.141,0.118,"2018-03-05 18:30:00"
3098000032,16.252,0.624,9.216,0.15,"2018-03-05 19:00:00"
3098000032,16.303,0.102,9.265,0.098,"2018-03-05 19:30:00"
3098000032,16.36,0.114,9.317,0.104,"2018-03-05 20:00:00"
3098000032,16.422,0.124,9.37,0.106,"2018-03-05 20:30:00"
3098000032,16.483,0.122,9.421,0.102,"2018-03-05 21:00:00"
3098000032,16.544,0.122,9.473,0.104,"2018-03-05 21:30:00"
3098000032,16.602,0.116,9.524,0.102,"2018-03-05 22:00:00"
3098000032,16.659,0.114,9.576,0.104,"2018-03-05 22:30:00"
3098000032,16.719,0.12,9.628,0.104,"2018-03-05 23:00:00"
3098000032,16.781,0.124,9.682,0.108,"2018-03-05 23:30:00"
3098000032,16.85,0.138,9.735,0.106,"2018-03-06 00:00:00"
3098000032,16.911,0.122,9.785,0.1,"2018-03-06 00:30:00"
3098000032,16.973,0.124,9.833,0.096,"2018-03-06 01:00:00"
3098000032,17.036,0.126,9.883,0.1,"2018-03-06 01:30:00"
3098000032,17.098,0.124,9.931,0.096,"2018-03-06 02:00:00"
3098000032,17.158,0.12,9.98,0.098,"2018-03-06 02:30:00"
3098000032,17.22,0.124,10.028,0.096,"2018-03-06 03:00:00"
3098000032,17.282,0.124,10.076,0.096,"2018-03-06 03:30:00"
3098000032,17.34,0.116,10.124,0.096,"2018-03-06 04:00:00"
3098000032,17.397,0.114,10.173,0.098,"2018-03-06 04:30:00"
3098000032,17.451,0.108,10.22,0.094,"2018-03-06 05:00:00"
3098000032,17.5,0.098,10.265,0.09,"2018-03-06 05:30:00"
3098000032,17.551,0.102,10.31,0.09,"2018-03-06 06:00:00"
3098000032,17.603,0.104,10.355,0.09,"2018-03-06 06:30:00"
3098000032,17.653,0.1,10.399,0.088,"2018-03-06 07:00:00"
3098000032,17.702,0.098,10.443,0.088,"2018-03-06 07:30:00"
3098000032,17.75,0.096,10.487,0.088,"2018-03-06 08:00:00"
3098000032,17.791,0.082,10.528,0.082,"2018-03-06 08:30:00"
3098000032,17.83,0.078,10.568,0.08,"2018-03-06 09:00:00"
3098000032,17.868,0.076,10.607,0.078,"2018-03-06 09:30:00"
3098000032,17.907,0.078,10.647,0.08,"2018-03-06 10:00:00"
3098000032,17.999,0.184,10.682,0.07,"2018-03-06 10:30:00"
3098000032,18.142,0.286,10.71,0.056,"2018-03-06 11:00:00"
3098000032,18.3,0.316,10.745,0.07,"2018-03-06 11:30:00"
3098000032,18.518,0.436,10.799,0.108,"2018-03-06 12:00:00"
3098000032,18.721,0.406,10.848,0.098,"2018-03-06 12:30:00"
3098000032,18.9,0.358,10.885,0.074,"2018-03-06 13:00:00"
3098000032,19.115,0.43,10.934,0.098,"2018-03-06 13:30:00"
3098000032,19.319,0.408,10.979,0.09,"2018-03-06 14:00:00"
3098000032,19.586,0.534,11.043,0.128,"2018-03-06 14:30:00"
3098000032,19.865,0.558,11.106,0.126,"2018-03-06 15:00:00"
3098000032,20.14,0.55,11.168,0.124,"2018-03-06 15:30:00"
3098000032,20.417,0.554,11.229,0.122,"2018-03-06 16:00:00"
3098000032,20.732,0.63,11.3,0.142,"2018-03-06 16:30:00"
3098000032,21.001,0.538,11.361,0.122,"2018-03-06 17:00:00"
3098000032,21.217,0.432,11.416,0.11,"2018-03-06 17:30:00"
3098000032,21.469,0.504,11.482,0.132,"2018-03-06 18:00:00"
3098000032,21.81,0.682,11.555,0.146,"2018-03-06 18:30:00"
3098000032,22.301,0.982,11.649,0.188,"2018-03-06 19:00:00"
3098000032,22.635,0.668,11.724,0.15,"2018-03-06 19:30:00"
3098000032,23.196,1.122,11.828,0.208,"2018-03-06 20:00:00"
3098000032,23.655,0.918,11.929,0.202,"2018-03-06 20:30:00"
3098000032,23.752,0.194,11.971,0.084,"2018-03-06 21:00:00"
3098000032,23.799,0.094,12.019,0.096,"2018-03-06 21:30:00"
3098000032,23.849,0.1,12.068,0.098,"2018-03-06 22:00:00"
3098000032,23.9,0.102,12.117,0.098,"2018-03-06 22:30:00"
3098000032,23.955,0.11,12.168,0.102,"2018-03-06 23:00:00"
3098000032,24.016,0.122,12.22,0.104,"2018-03-06 23:30:00"
3098000032,24.081,0.13,12.273,0.106,"2018-03-07 00:00:00"
3098000032,24.153,0.144,12.328,0.11,"2018-03-07 00:30:00"
3098000032,24.227,0.148,12.384,0.112,"2018-03-07 01:00:00"
3098000032,24.303,0.152,12.44,0.112,"2018-03-07 01:30:00"
3098000032,24.378,0.15,12.497,0.114,"2018-03-07 02:00:00"
3098000032,24.447,0.138,12.55,0.106,"2018-03-07 02:30:00"
3098000032,24.508,0.122,12.6,0.1,"2018-03-07 03:00:00"
3098000032,24.567,0.118,12.649,0.098,"2018-03-07 03:30:00"
3098000032,24.627,0.12,12.699,0.1,"2018-03-07 04:00:00"
3098000032,24.686,0.118,12.748,0.098,"2018-03-07 04:30:00"
3098000032,24.743,0.114,12.797,0.098,"2018-03-07 05:00:00"
3098000032,24.798,0.11,12.844,0.094,"2018-03-07 05:30:00"
3098000032,24.851,0.106,12.89,0.092,"2018-03-07 06:00:00"
3098000032,24.903,0.104,12.936,0.092,"2018-03-07 06:30:00"
3098000032,24.95,0.094,12.979,0.086,"2018-03-07 07:00:00"
3098000032,12.282,0,8.264,0,"2018-03-02 11:30:00"
3098000032,25,0.1,13.023,0.088,"2018-03-07 07:30:00"
3098000032,25.047,0.094,13.066,0.086,"2018-03-07 08:00:00"
3098000032,25.089,0.084,13.107,0.082,"2018-03-07 08:30:00"
3098000032,25.128,0.078,13.146,0.078,"2018-03-07 09:00:00"
3098000032,25.163,0.07,13.186,0.08,"2018-03-07 09:30:00"
3098000032,25.198,0.07,13.225,0.078,"2018-03-07 10:00:00"
3098000032,25.23,0.064,13.263,0.076,"2018-03-07 10:30:00"
3098000032,25.339,0.218,13.287,0.048,"2018-03-07 11:00:00"
3098000032,25.479,0.28,13.308,0.042,"2018-03-07 11:30:00"
3098000032,25.611,0.264,13.323,0.03,"2018-03-07 12:00:00"
3098000032,25.746,0.27,13.337,0.028,"2018-03-07 12:30:00"
3098000032,25.889,0.286,13.352,0.03,"2018-03-07 13:00:00"
3098000032,26.063,0.348,13.387,0.07,"2018-03-07 13:30:00"
3098000032,26.219,0.312,13.403,0.032,"2018-03-07 14:00:00"
3098000032,26.362,0.286,13.42,0.034,"2018-03-07 14:30:00"
3098000032,26.532,0.34,13.447,0.054,"2018-03-07 15:00:00"
3098000032,26.802,0.54,13.495,0.096,"2018-03-07 15:30:00"
3098000032,27.077,0.55,13.541,0.092,"2018-03-07 16:00:00"
3098000032,27.357,0.56,13.588,0.094,"2018-03-07 16:30:00"
3098000032,27.711,0.708,13.67,0.164,"2018-03-07 17:00:00"
3098000032,28.013,0.604,13.724,0.108,"2018-03-07 17:30:00"
3098000032,28.286,0.546,13.775,0.102,"2018-03-07 18:00:00"
3098000032,28.527,0.482,13.832,0.114,"2018-03-07 18:30:00"
3098000032,28.773,0.492,13.888,0.112,"2018-03-07 19:00:00"
3098000032,29.019,0.492,13.942,0.108,"2018-03-07 19:30:00"
3098000032,29.234,0.43,13.991,0.098,"2018-03-07 20:00:00"
